               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.024309,            0.025288,                   0,             0.69675,              0.8961,             0.77814,             0.38874,            0.020615,           0.0050047,                   0,           0.0035003,           0.0035003,              0.0631
                 135,            0.027105,            0.021556,                   0,             0.60648,             0.96073,              0.8073,             0.46588,             0.02008,           0.0044429,                   0,           0.0035186,           0.0035186,            0.062819
                 136,            0.031262,            0.022164,                   0,             0.97221,             0.90884,             0.94239,             0.52943,            0.026393,           0.0047534,                   0,           0.0035368,           0.0035368,            0.062537
                 137,            0.026571,            0.019876,                   0,             0.89471,             0.88312,             0.91074,             0.44986,            0.019303,            0.004777,                   0,           0.0035548,           0.0035548,            0.062255
                 138,            0.026557,            0.024081,                   0,             0.89735,             0.90827,             0.92709,             0.41037,            0.026754,           0.0047782,                   0,           0.0035727,           0.0035727,            0.061973
                 139,            0.027533,            0.026646,                   0,             0.97216,             0.90909,             0.94582,             0.46164,            0.023256,           0.0049419,                   0,           0.0035904,           0.0035904,             0.06169
                 140,            0.027607,            0.023544,                   0,             0.94438,             0.88205,             0.90302,              0.4943,            0.027661,           0.0058943,                   0,            0.003608,            0.003608,            0.061408
                 141,            0.030305,            0.029506,                   0,             0.80763,             0.81787,             0.85015,             0.43954,            0.024894,           0.0045015,                   0,           0.0036254,           0.0036254,            0.061125
                 142,            0.032052,            0.033904,                   0,             0.88575,             0.90618,             0.94575,             0.49103,            0.023084,           0.0049676,                   0,           0.0036426,           0.0036426,            0.060843
                 143,            0.035362,             0.02752,                   0,             0.96965,             0.87013,             0.91822,             0.38392,            0.029257,            0.005651,                   0,           0.0036597,           0.0036597,             0.06056
                 144,            0.027897,            0.023897,                   0,             0.86577,             0.92208,             0.93764,             0.50146,            0.019798,           0.0046556,                   0,           0.0036766,           0.0036766,            0.060277
                 145,            0.022952,            0.024933,                   0,             0.89742,             0.90893,             0.94627,             0.47722,            0.020912,           0.0046365,                   0,           0.0036934,           0.0036934,            0.059993
                 146,            0.030945,            0.024527,                   0,             0.80435,             0.90909,             0.90652,             0.45306,            0.022372,           0.0045225,                   0,             0.00371,             0.00371,             0.05971
                 147,             0.02451,            0.022576,                   0,             0.84659,             0.80519,             0.87061,             0.44018,             0.01924,           0.0045547,                   0,           0.0037264,           0.0037264,            0.059426
                 148,            0.027602,            0.025883,                   0,             0.86781,             0.85714,             0.90279,             0.52501,            0.020987,           0.0051379,                   0,           0.0037427,           0.0037427,            0.059143
                 149,            0.023085,            0.023022,                   0,             0.83636,             0.87013,             0.89178,             0.55027,            0.019869,           0.0058911,                   0,           0.0037588,           0.0037588,            0.058859
                 150,            0.025262,            0.023637,                   0,             0.84894,             0.81818,             0.86423,             0.50533,            0.020046,           0.0067345,                   0,           0.0037747,           0.0037747,            0.058575
                 151,            0.029027,            0.031004,                   0,             0.85117,              0.8961,             0.93262,             0.55699,            0.018308,           0.0044575,                   0,           0.0037905,           0.0037905,             0.05829
                 152,            0.025512,             0.02613,                   0,             0.92401,             0.94745,             0.96437,             0.55985,            0.021286,            0.004235,                   0,           0.0038061,           0.0038061,            0.058006
                 153,            0.026522,            0.025864,                   0,             0.88146,             0.86912,             0.92477,             0.51145,            0.021418,           0.0052876,                   0,           0.0038216,           0.0038216,            0.057722
                 154,            0.027149,             0.03023,                   0,             0.94662,              0.9212,             0.96116,             0.47801,            0.023523,           0.0046573,                   0,           0.0038369,           0.0038369,            0.057437
