               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.032161,            0.036134,                   0,             0.90629,             0.92814,             0.92693,             0.57641,            0.031473,           0.0085377,                   0,           0.0036911,           0.0036911,            0.063791
                 100,            0.035033,            0.035489,                   0,             0.85791,             0.94001,             0.92997,             0.54521,            0.028556,           0.0079355,                   0,           0.0037221,           0.0037221,            0.063422
                 101,               0.035,            0.035965,                   0,             0.87634,             0.93358,              0.9301,              0.5639,            0.026535,           0.0091665,                   0,            0.003753,            0.003753,            0.063053
                 102,            0.031588,            0.034974,                   0,             0.89013,             0.92178,             0.93439,             0.45566,            0.032428,           0.0084649,                   0,           0.0037838,           0.0037838,            0.062684
                 103,            0.032742,            0.034032,                   0,             0.87238,             0.85957,             0.88693,             0.46749,            0.032252,           0.0098757,                   0,           0.0038143,           0.0038143,            0.062314
                 104,             0.03178,            0.036502,                   0,             0.88456,             0.82589,             0.89285,             0.42263,            0.034586,            0.010798,                   0,           0.0038447,           0.0038447,            0.061945
                 105,            0.033427,            0.033727,                   0,             0.86411,              0.9519,             0.93695,             0.48642,            0.033364,           0.0077981,                   0,           0.0038749,           0.0038749,            0.061575
                 106,            0.033676,            0.033132,                   0,             0.89199,             0.94012,             0.95157,             0.43697,            0.032898,           0.0077487,                   0,            0.003905,            0.003905,            0.061205
                 107,            0.034618,            0.036291,                   0,             0.87155,             0.78443,             0.86455,             0.42218,            0.031057,            0.011454,                   0,           0.0039348,           0.0039348,            0.060835
                 108,            0.031241,            0.038543,                   0,             0.87226,             0.73599,             0.84396,             0.42267,            0.030405,            0.010923,                   0,           0.0039645,           0.0039645,            0.060465
                 109,            0.031304,            0.037122,                   0,             0.87776,             0.94611,             0.94292,             0.47495,            0.031973,           0.0078488,                   0,            0.003994,            0.003994,            0.060094
                 110,            0.031947,            0.033366,                   0,             0.83676,             0.95155,             0.93461,              0.5274,             0.03203,           0.0078768,                   0,           0.0040233,           0.0040233,            0.059723
                 111,            0.031927,            0.035274,                   0,             0.89713,             0.94012,             0.94202,             0.50874,            0.031582,           0.0077319,                   0,           0.0040525,           0.0040525,            0.059352
                 112,             0.03167,            0.032831,                   0,             0.87132,             0.89198,             0.92573,             0.40391,            0.033601,           0.0077392,                   0,           0.0040814,           0.0040814,            0.058981
                 113,            0.032348,            0.033257,                   0,              0.8925,             0.94461,             0.95064,             0.52017,            0.028736,           0.0073243,                   0,           0.0041102,           0.0041102,             0.05861
                 114,            0.032298,            0.033315,                   0,             0.87219,             0.94012,             0.94751,             0.44875,            0.032134,           0.0079241,                   0,           0.0041388,           0.0041388,            0.058239
                 115,            0.032841,            0.035436,                   0,             0.85532,             0.95808,             0.94062,             0.47617,             0.03296,           0.0081631,                   0,           0.0041672,           0.0041672,            0.057867
                 116,            0.034364,            0.035826,                   0,             0.88506,             0.92215,             0.93763,             0.43911,            0.034744,           0.0079999,                   0,           0.0041954,           0.0041954,            0.057495
                 117,             0.03329,            0.035912,                   0,              0.8799,             0.92216,             0.93795,             0.50422,            0.033183,            0.008482,                   0,           0.0042234,           0.0042234,            0.057123
                 118,            0.032578,            0.034402,                   0,             0.88396,             0.95808,             0.94823,              0.5311,            0.031417,           0.0075045,                   0,           0.0042513,           0.0042513,            0.056751
                 119,            0.033956,            0.038666,                   0,              0.7306,             0.53892,             0.63978,             0.27616,            0.043692,            0.015444,                   0,           0.0042789,           0.0042789,            0.056379
                 120,            0.035324,            0.035452,                   0,             0.58773,             0.47305,             0.52762,             0.22047,            0.045249,            0.016773,                   0,           0.0043064,           0.0043064,            0.056006
                 121,             0.03265,            0.032902,                   0,              0.7996,             0.64509,             0.74986,             0.35174,            0.039457,            0.014147,                   0,           0.0043336,           0.0043336,            0.055634
                 122,            0.032321,             0.03385,                   0,             0.79571,             0.72305,             0.78745,             0.39496,            0.037566,            0.011659,                   0,           0.0043607,           0.0043607,            0.055261
                 123,            0.030815,            0.033375,                   0,             0.88075,             0.79641,             0.88961,             0.43789,            0.035351,           0.0094214,                   0,           0.0043876,           0.0043876,            0.054888
                 124,            0.033446,            0.030726,                   0,             0.87127,             0.89164,             0.92417,             0.47051,            0.033886,           0.0093688,                   0,           0.0044142,           0.0044142,            0.054514
                 125,            0.029664,            0.033422,                   0,             0.90813,              0.9521,             0.96274,             0.50602,            0.032375,           0.0075155,                   0,           0.0044407,           0.0044407,            0.054141
                 126,             0.03212,            0.031069,                   0,             0.89887,             0.95797,             0.95482,             0.51635,            0.028601,            0.007271,                   0,            0.004467,            0.004467,            0.053767
                 127,            0.029668,            0.033055,                   0,             0.89233,             0.94611,             0.94922,             0.63007,            0.023577,           0.0070696,                   0,           0.0044931,           0.0044931,            0.053393
                 128,            0.027513,            0.032045,                   0,             0.91068,             0.91617,             0.94396,              0.6043,            0.025108,           0.0072002,                   0,           0.0045189,           0.0045189,            0.053019
                 129,            0.030422,            0.030806,                   0,             0.89142,             0.93408,             0.94068,             0.51022,            0.031971,           0.0077039,                   0,           0.0045446,           0.0045446,            0.052645
                 130,            0.033545,            0.031167,                   0,             0.86457,             0.96407,             0.94814,             0.47611,            0.031559,           0.0075429,                   0,           0.0045701,           0.0045701,             0.05227
                 131,            0.033286,            0.033398,                   0,             0.90226,             0.94012,             0.94041,             0.52366,             0.03306,           0.0072254,                   0,           0.0045953,           0.0045953,            0.051895
                 132,            0.031306,             0.03247,                   0,             0.90338,              0.9521,             0.93415,             0.53403,            0.030259,           0.0075893,                   0,           0.0046204,           0.0046204,             0.05152
                 133,            0.030805,             0.03643,                   0,             0.86156,             0.96894,             0.92865,             0.53397,            0.028174,           0.0077249,                   0,           0.0046453,           0.0046453,            0.051145
